Independent,P-Value,Relationship,DepPos,Dependent,Hypothesis ID,Supported,Mediator/Moderator,IndPos,Relationship ID,MidPos,Type,Source ID
24929,.01,Negative Effect,"(300, 82)",24930,6822-0a,1,24927,"(-300, -84)",1791,"(300, 165)",Moderator,6822
24925,.01,Negative Effect,"(300, 165)",24927,6822-1a,1,,"(-300, -1)",1792,,Regular,6822
24931,.01,Negative Effect,"(300, 82)",24930,6822-0b,1,24927,"(-300, 82)",1793,"(300, 165)",Moderator,6822
24926,.01,Negative Effect,"(300, 165)",24927,6822-1b,1,,"(-300, 165)",1794,,Regular,6822
25018,.01,Negative Effect,"(-300, -250)",25025,6823-1a,1,25017,"(-300, -250)",1795,"(200, -350)",Mediator,6823
25019,,Negative Effect,"(-300, -250)",25025,6823-1a,1,25017,"(-300, -250)",1796,"(200, -350)",Mediator,6823
25020,,Negative Effect,"(-300, -250)",25025,6823-1a,1,25017,"(-300, 0)",1797,"(200, -350)",Mediator,6823
25025,.01,Negative Effect,"(300, -250)",25026,6823-2a,1,25017,"(-300, -250)",1798,"(200, -350)",Mediator,6823
25215,,Negative Effect,"(300, -85)",25232,6824-1,1,,"(-300, -250)",1799,,Regular,6824
25216,,Negative Effect,"(300, -85)",25232,6824-1,1,,"(-300, -125)",1800,,Regular,6824
25217,,Negative Effect,"(300, -85)",25232,6824-1,1,,"(-300, 0)",1801,,Regular,6824
25215,,Negative Effect,"(300, 135)",25233,6824-1,1,,"(-300, -250)",1802,,Regular,6824
25216,,Negative Effect,"(300, 135)",25233,6824-1,1,,"(-300, -125)",1803,,Regular,6824
25217,,Negative Effect,"(300, 135)",25233,6824-1,1,,"(-300, 0)",1804,,Regular,6824
25215,,Negative Effect,"(300, -150)",25234,6824-1,1,,"(-300, -250)",1805,,Regular,6824
25216,,Negative Effect,"(300, -150)",25234,6824-1,1,,"(-300, -125)",1806,,Regular,6824
25217,,Negative Effect,"(300, -150)",25234,6824-1,1,,"(-300, 0)",1807,,Regular,6824
25218,.05,Positive Effect,"(300, -85)",25232,6824-2,1,,"(-300, 82)",1808,,Regular,6824
25219,.05,Positive Effect,"(300, -85)",25232,6824-2,1,,"(-300, 165)",1809,,Regular,6824
25220,.05,Positive Effect,"(300, -85)",25232,6824-2,1,,"(-300, -250)",1810,,Regular,6824
25221,.05,Positive Effect,"(300, -85)",25232,6824-2,1,,"(-300, -179)",1811,,Regular,6824
25222,.05,Positive Effect,"(300, -85)",25232,6824-2,1,,"(-300, -108)",1812,,Regular,6824
