Independent,P-Value,Relationship,DepPos,Dependent,Hypothesis ID,Supported,Mediator/Moderator,IndPos,Relationship ID,MidPos,Type,Source ID
25829,.05,Effect,"(300, -108)",25822,6878-2,1,51143,"(-300, 135)",2098,"(-200, -185)",Moderator,6878
25829,,Effect,"(300, -108)",25822,6878-2,1,51144,"(-300, 135)",2099,"(-200, 35)",Moderator,6878
25829,,Effect,"(300, -108)",25822,6878-2,1,51144,"(-300, 135)",2100,"(-200, 35)",Moderator,6878
25829,,Effect,"(300, -108)",25822,6878-2,1,51144,"(-300, 135)",2101,"(-200, 35)",Moderator,6878
25829,,Effect,"(300, -108)",25822,6878-2,1,51144,"(-300, 135)",2102,"(-200, 35)",Moderator,6878
25829,.05,Effect,"(300, 105)",25827,6878-3,1,51143,"(-300, 135)",2103,"(-200, -185)",Moderator,6878
25829,.05,Effect,"(300, 105)",25827,6878-3,1,51143,"(-300, 135)",2104,"(-200, -185)",Moderator,6878
25829,.05,Effect,"(300, 105)",25827,6878-3,1,51143,"(-300, 135)",2105,"(-200, -185)",Moderator,6878
25829,,Effect,"(300, -188)",25828,6878-3,1,51144,"(-300, 135)",2106,"(-200, 35)",Moderator,6878
25829,,Effect,"(300, -188)",25828,6878-3,1,51144,"(-300, 135)",2107,"(-200, 35)",Moderator,6878
25829,,Effect,"(300, -188)",25828,6878-3,1,51144,"(-300, 135)",2108,"(-200, 35)",Moderator,6878
25829,,Effect,"(300, 184)",25824,6878-3,1,51145,"(-300, 135)",2109,"(-200, -102)",Moderator,6878
25829,,Effect,"(300, 184)",25824,6878-3,1,51145,"(-300, 135)",2110,"(-200, -102)",Moderator,6878
25829,,Effect,"(300, 184)",25824,6878-3,1,51145,"(-300, 135)",2111,"(-200, -102)",Moderator,6878
25829,.05,Effect,"(300, 184)",25824,6878-3,1,51146,"(-300, 135)",2112,"(-200, 84)",Moderator,6878
25829,.05,Effect,"(300, 184)",25824,6878-3,1,51146,"(-300, 135)",2113,"(-200, 84)",Moderator,6878
25829,.05,Effect,"(300, 184)",25824,6878-3,1,51146,"(-300, 135)",2114,"(-200, 84)",Moderator,6878
25829,.05,Effect,"(300, 135)",25825,6878-4,1,51143,"(-300, 135)",2115,"(-200, -185)",Moderator,6878
25829,.05,Effect,"(300, 135)",25825,6878-4,1,51143,"(-300, 135)",2116,"(-200, -185)",Moderator,6878
25829,.05,Effect,"(300, 135)",25825,6878-4,1,51143,"(-300, 135)",2117,"(-200, -185)",Moderator,6878
25829,.05,Effect,"(300, 135)",25825,6878-4,1,51143,"(-300, 135)",2118,"(-200, -185)",Moderator,6878
25829,.05,Effect,"(300, 135)",25825,6878-4,1,51144,"(-300, 135)",2119,"(-200, 35)",Moderator,6878
25829,.05,Effect,"(300, 135)",25825,6878-4,1,51144,"(-300, 135)",2120,"(-200, 35)",Moderator,6878
25829,.05,Effect,"(300, 135)",25825,6878-4,1,51144,"(-300, 135)",2121,"(-200, 35)",Moderator,6878
25829,.05,Effect,"(300, 135)",25825,6878-4,1,51144,"(-300, 135)",2122,"(-200, 35)",Moderator,6878
50751,.05,Positive Effect,"(300, -250)",25937,6884-1,1,,"(-300, -250)",2123,,Regular,6884
50754,.05,Negative Effect,"(300, -250)",25937,6884-1,1,,"(-300, 0)",2124,,Regular,6884
