"cost_level","ADM_RATE","SATMTMID","LOCALE","region","GRAD_DEBT_MDN","C150_4","SATVRMID","PFTFAC","md_earn_wne_p8","UGDS","COSTT4_A","ROI","AVG_INC","Major_Cluster"
"Low",0.757,545.0,"Suburb:Large","Southeast",21500.0,0.4342,523.5020210185934,0.5841,30400.0,2525.0,17670.0,1.72043010752688,56984.38482,"Comprehensive"
"Low",0.6571039413845394,531.1777777777778,"City:Small","Southeast",11500.0,0.4732235186873289,523.5020210185934,0.3475,22900.0,3473.0,10476.0,2.18594883543337,26562.55016,"Specialized"
"Low",0.8764,480.0,"City:Small","Southeast",19505.0,0.2739,475.0,0.9748,33000.0,5649.0,12977.0,2.54296062264006,50941.57689,"Comprehensive"
"Low",0.6571039413845394,531.1777777777778,"Rural:Distant","Southeast",5200.0,0.4732235186873289,523.5020210185934,0.2555,25000.0,2888.0,7120.0,3.51123595505618,24246.98179,"Specialized"
"High",0.4355,437.0,"City:Midsize","Southeast",25500.0,0.3498,465.0,1.0,27300.0,1930.0,32985.0,0.827648931332424,56346.89563,"Comprehensive"
"Low",0.6571039413845394,531.1777777777778,"Rural:Fringe","Southeast",18765.904755244756,0.4732235186873289,523.5020210185934,0.4361,19500.0,1342.0,9421.0,2.06984396560875,16709.59487,"Specialized"
"Low",0.6571039413845394,531.1777777777778,"Rural:Fringe","Southeast",18765.904755244756,0.4732235186873289,523.5020210185934,0.7297,18200.0,609.0,7391.0,2.46245433635503,14949.83664,"Specialized"
"Low",0.6571039413845394,531.1777777777778,"City:Midsize","Southeast",18765.904755244756,0.4732235186873289,523.5020210185934,0.4378,19200.0,3397.0,8731.0,2.19906081777574,15877.34585,"Specialized"
"High",0.8258,585.0,"Suburb:Large","Southeast",20834.0,0.7024,570.0,0.6423,41400.0,2927.0,34371.0,1.20450379680545,96826.48065,"Comprehensive"
"Low",0.6571039413845394,531.1777777777778,"City:Small","Southeast",18765.904755244756,0.4732235186873289,523.5020210185934,0.3129,22400.0,5077.0,12401.0,1.80630594306911,19222.41568,"Specialized"
"Low",0.6571039413845394,531.1777777777778,"Town:Distant","Southeast",18765.904755244756,0.4732235186873289,523.5020210185934,0.2787,25000.0,2170.0,8923.0,2.80174829093354,23930.18819,"Specialized"
"Low",0.8726,490.0,"City:Midsize","Southeast",22500.0,0.3823,503.0,0.9632,34400.0,11403.0,13746.0,2.5025461952568,48917.4727,"Comprehensive"
"High",0.4854,529.0,"City:Midsize","Southeast",25000.0,0.6095,557.0,0.6614,37500.0,1254.0,40233.0,0.932070688240996,75874.84072,"Comprehensive"
"Low",1.0,525.0,"Suburb:Large","Southeast",26337.5,0.2941,420.0,0.3333,27200.0,174.0,18509.0,1.46955535145065,34325.04834,"Specialized"
"High",0.4647,448.0,"City:Small","Southeast",30750.0,0.3447,410.0,0.8852,23200.0,1072.0,24615.0,0.942514726792606,34426.35048,"Comprehensive"
"Low",0.6571039413845394,531.1777777777778,"Town:Distant","Southeast",22920.0,0.2,523.5020210185934,1.0,19600.0,712.0,20622.0,0.950441276306857,22533.37657,"Comprehensive"
"Low",0.6571039413845394,531.1777777777778,"City:Midsize","Southeast",18765.904755244756,0.4732235186873289,523.5020210185934,0.5149,22300.0,1666.0,10474.0,2.12908153523009,17427.33558,"Specialized"
"Low",0.7147,531.1777777777778,"Rural:Fringe","Southeast",25000.0,0.318,523.5020210185934,0.4142,33800.0,20391.0,16024.0,2.10933599600599,35573.70733,"Comprehensive"
"High",0.641,444.0,"Town:Distant","Southeast",29000.0,0.4301,450.0,0.9063,30800.0,2683.0,30034.0,1.02550442831458,47883.6078,"Comprehensive"
"Low",0.6571039413845394,531.1777777777778,"Town:Distant","Southeast",18765.904755244756,0.4732235186873289,523.5020210185934,0.2556,24700.0,3874.0,13284.0,1.85937970490816,19451.01668,"Specialized"
"Low",0.6571039413845394,531.1777777777778,"City:Large","Far West",20100.0,0.2562,523.5020210185934,0.8444,39800.0,13326.0,14278.0,2.78750525283653,46316.48533,"Comprehensive"
"Low",0.6571039413845394,531.1777777777778,"Suburb:Small","Far West",18000.0,0.2632,523.5020210185934,0.8747,34300.0,5954.0,15070.0,2.27604512276045,47035.70043,"Comprehensive"
"Low",0.6571039413845394,531.1777777777778,"Town:Remote","Far West",17334.0,0.2125,523.5020210185934,0.8509,35800.0,1662.0,13554.0,2.64128670503173,46251.48341,"Comprehensive"
"High",0.3261,515.0,"City:Large","Far West",23000.0,0.4615,545.0,0.9434,38000.0,412.0,39710.0,0.956937799043062,58249.83438,"Professional"
"Low",0.6571039413845394,531.1777777777778,"City:Large","Far West",14414.0,0.9375,523.5020210185934,0.2375,34100.0,1651.0,23187.0,1.47065165825678,24632.05231,"Professional"
"Low",0.6571039413845394,531.1777777777778,"Rural:Remote","Far West",20100.0,0.4732235186873289,523.5020210185934,0.8889,39800.0,154.0,11549.0,3.44618581695385,46316.48533,"Specialized"
"High",0.6571039413845394,531.1777777777778,"City:Large","Southwest",16111.0,0.4123,523.5020210185934,0.44,27600.0,2254.0,30946.0,0.891876171395334,16062.49254,"Professional"
"High",0.6571039413845394,531.1777777777778,"City:Large","Southwest",31000.0,0.4066,523.5020210185934,0.2054,24100.0,892.0,29875.0,0.806694560669456,27211.82211,"Specialized"
"High",0.6571039413845394,531.1777777777778,"City:Small","Southwest",24348.5,0.6069,523.5020210185934,0.2632,21300.0,284.0,25339.0,0.84060144441375,17285.78463,"Professional"
"Low",0.8664,555.0,"City:Midsize","Southwest",18250.0,0.5747,540.0,0.922,41200.0,58184.0,20061.0,2.05373610488012,60832.60166,"Comprehensive"
"Low",0.6571039413845394,531.1777777777778,"City:Small","Southwest",6500.0,0.4732235186873289,523.5020210185934,0.2795,25400.0,7915.0,13401.0,1.89538094172077,26844.65552,"Specialized"
"Low",0.7536,555.0,"City:Large","Southwest",18125.0,0.6137,545.0,0.7571,40000.0,30445.0,21624.0,1.84979652238254,68593.40552,"Comprehensive"
"High",0.6571039413845394,531.1777777777778,"City:Large","Southwest",47186.5,0.8,523.5020210185934,0.4922533516483511,26600.0,254.0,46183.0,0.575969512591213,31196.15327,"Specialized"
"Low",0.6571039413845394,531.1777777777778,"Rural:Fringe","Southwest",11003.5,0.4732235186873289,523.5020210185934,1.0,25600.0,6240.0,8702.0,2.94185244771317,26860.40896,"Specialized"
"High",0.6571039413845394,531.1777777777778,"City:Large","Southwest",15166.0,0.2222,523.5020210185934,0.1062,28200.0,726.0,28349.0,0.994744082683693,23113.01689,"Professional"
"Low",0.6571039413845394,531.1777777777778,"Rural:Distant","Southwest",5674.5,0.4732235186873289,523.5020210185934,0.2272,25300.0,3981.0,8244.0,3.06889859291606,25444.14383,"Specialized"
"High",0.9188,531.1777777777778,"NA","Southwest",41500.0,0.3377,523.5020210185934,0.2125,42400.0,1760.0,29706.0,1.42732107991652,31997.28278,"Professional"
"Low",0.6571039413845394,531.1777777777778,"Town:Remote","Southwest",18765.904755244756,0.4732235186873289,523.5020210185934,0.2448,26700.0,5430.0,10219.0,2.61278011547118,22152.66645,"Specialized"
"High",0.8234,574.0,"Rural:Fringe","Southwest",24313.0,0.567,549.0,0.6863,53800.0,1655.0,43624.0,1.23326609205942,60151.27757,"Professional"
"Low",0.6571039413845394,531.1777777777778,"Suburb:Large","Southwest",18765.904755244756,0.4732235186873289,523.5020210185934,0.2977,31300.0,16120.0,12007.0,2.60681269259599,26401.80104,"Specialized"
"High",0.3683,531.1777777777778,"City:Large","Southwest",21875.0,0.3077,523.5020210185934,0.0673,46200.0,24736.0,29968.0,1.54164442071543,39130.36766,"Comprehensive"
"Low",0.6571039413845394,531.1777777777778,"City:Large","Southwest",8434.0,0.4732235186873289,523.5020210185934,0.3105,29700.0,6576.0,13316.0,2.23039951937519,26023.37351,"Specialized"
"Low",0.6571039413845394,531.1777777777778,"City:Large","Southwest",18765.904755244756,0.4732235186873289,523.5020210185934,0.2616,31800.0,21471.0,12925.0,2.46034816247582,28238.11145,"Specialized"
"High",0.6875,531.1777777777778,"Suburb:Large","Southwest",12500.0,0.2969,523.5020210185934,0.2903,35100.0,518.0,26385.0,1.33030130756111,26162.33494,"Professional"
"High",0.7426,531.1777777777778,"City:Midsize","Southwest",12500.0,0.2833,523.5020210185934,0.2143,35100.0,721.0,26952.0,1.30231522707035,26162.33494,"Professional"
"High",0.6571039413845394,531.1777777777778,"Rural:Fringe","Southwest",14054.0,0.4732235186873289,523.5020210185934,0.2149,26700.0,5515.0,24458.0,1.09166734810696,20391.46002,"Specialized"
"Low",0.6571039413845394,531.1777777777778,"Rural:Remote","Southwest",18765.904755244756,0.1017,523.5020210185934,1.0,19100.0,1969.0,11752.0,1.62525527569775,17733.45752,"Professional"
"Low",0.6478,535.0,"City:Small","Southwest",19498.5,0.5178,530.0,0.9988,36200.0,20609.0,21182.0,1.70899820602398,62224.80458,"Comprehensive"
"Low",0.6571039413845394,531.1777777777778,"Rural:Fringe","Southwest",18765.904755244756,0.4732235186873289,523.5020210185934,1.0,21200.0,1814.0,11304.0,1.87544232130219,18864.80375,"Specialized"
"Low",0.6571039413845394,531.1777777777778,"City:Large","Southwest",10750.0,0.4732235186873289,523.5020210185934,0.227,29200.0,9649.0,12678.0,2.30320239785455,21800.36499,"Specialized"
"High",0.6571039413845394,531.1777777777778,"City:Midsize","Southwest",31075.5,0.191,523.5020210185934,0.0903,46200.0,4270.0,26877.0,1.71894184618819,25192.24054,"Professional"
"Low",0.6571039413845394,531.1777777777778,"City:Large","Southwest",9500.0,0.4732235186873289,523.5020210185934,0.2107,27500.0,33110.0,7415.0,3.70869858395145,24501.32549,"Specialized"
"High",0.8255,550.0,"City:Small","Southwest",25000.0,0.2927,580.0,0.4777,30800.0,710.0,37677.0,0.817474852031744,52013.66693,"Comprehensive"
"Low",0.6571039413845394,531.1777777777778,"City:Midsize","Southwest",18793.0,0.4732235186873289,523.5020210185934,0.0275,35100.0,12135.0,13925.0,2.52064631956912,20555.90961,"Specialized"
"Low",0.6571039413845394,531.1777777777778,"Rural:Fringe","Southwest",18765.904755244756,0.4732235186873289,523.5020210185934,0.2697,33200.0,8470.0,12807.0,2.59233231826345,33755.95347,"Specialized"
"Low",0.6571039413845394,531.1777777777778,"City:Large","Southwest",18765.904755244756,0.4732235186873289,523.5020210185934,0.251,26600.0,3863.0,12786.0,2.08040043797904,22289.89611,"Specialized"
"High",0.5666,505.0,"City:Large","Southwest",21877.0,0.3469,515.0,0.2083,29300.0,508.0,30745.0,0.953000487884209,66866.71421,"Professional"
"High",0.6571039413845394,531.1777777777778,"City:Midsize","Southwest",33375.0,0.0601,523.5020210185934,0.0055,43600.0,2433.0,28979.0,1.50453776872908,27070.43685,"Professional"
