"","cost_level","ADM_RATE","SATMTMID","LOCALE","region","GRAD_DEBT_MDN","C150_4","SATVRMID","PFTFAC","md_earn_wne_p8","UGDS","COSTT4_A","ROI","AVG_INC","Major_Cluster"
"342","Low",NA,NA,"Town:Remote","Far West",11000,NA,NA,0.2487,22300,2073,14092,1.58245813227363,23337.98215,"Specialized"
"343","Low",NA,NA,"Suburb:Large","Far West",5599,NA,NA,0.3207,34200,8792,9003,3.79873375541486,23036.36625,"Specialized"
"344","Low",NA,NA,"City:Midsize","Far West",NA,NA,NA,0.2665,24300,11181,11596,2.09555018972059,19421.57729,"Specialized"
"345","High",0.6915,555,"Rural:Fringe","Far West",24000,0.6388,550,0.4465,50300,2986,52357,0.960712034684951,93028.05024,"Comprehensive"
"346","Low",NA,NA,"Suburb:Midsize","Far West",9000,NA,NA,0.3802,30100,9702,12228,2.46156362446843,19544.927,"Specialized"
"347","Low",0.8088,515,"Suburb:Large","Far West",18000,0.5666,505,0.5277,40800,7722,21245,1.92045187102848,67809.20829,"Comprehensive"
"348","High",0.7371,485,"City:Midsize","Far West",25000,0.5542,490,0.3103,33900,1897,39081,0.867429185537729,66439.2388,"Comprehensive"
"349","Low",NA,NA,"Suburb:Large","Far West",4500,NA,NA,0.2264,26800,18484,9807,2.73274191903742,22138.57775,"Specialized"
"350","High",0.8939,610,"City:Large","Far West",37000,0.5758,470,0.4426,46900,243,43019,1.09021595109138,34166.4627,"Specialized"
"351","High",0.2302,720,"City:Large","Far West",21500,0.9012,665,0.5515,62300,17090,55493,1.12266411979889,88262.00964,"Comprehensive"
"352","Low",NA,NA,"Town:Distant","Far West",NA,NA,NA,0.4495,29200,4952,11959,2.4416757253951,24003.92533,"Specialized"
"353","High",0.7895,605,"Rural:Distant","Far West",14786.5,0.6889,660,0.9375,33200,358,33246,0.998616374902244,NA,"Specialized"
"354","High",0.7857,NA,"Suburb:Large","Far West",19961,0.25,NA,0.16,28700,307,24797,1.15739807234746,25491.21754,"Specialized"
"355","Low",NA,NA,"City:Midsize","Far West",10500,NA,NA,0.3048,30800,12352,13878,2.21933996253062,23241.26676,"Specialized"
